what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1544548766759
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548769886
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548772466
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548781557
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548783527
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1544548789526
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548792033
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548793431
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548799383
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548803257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1544548805266
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548809834
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548811700
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1544548818860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548820117
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548822565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548828324
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548829807
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548839531
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548845650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548847806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548848819
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548851856
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548853632
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548855700
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1544548855868
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548860675
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1544548864694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548866741
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548868604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548878391
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548879191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548883677
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1544548883768
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1544548883907
